rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
62,3535,晶彩科,134.0,3.03,9.84,8.47,34.21,62.1,0,-9.3,-933381.0,0.0,-4244281.0,0.0,False,False,0.0,0.0,0.0,未通過,漲幅9.8%
63,3550,聯穎,19.2,1.42,-3.27,6.19,0.97,55.3,1,29.9,35000.0,0.0,70001.0,0.0,False,False,0.0,0.0,0.0,成交額不足,漲幅-3.3%；成交額不足
64,3563,牧德,922.0,1.3,5.37,27.56,37.92,73.9,0,11.1,-344676.0,-150000.0,-217037.0,60932.0,False,False,0.0,0.0,0.0,量比1.30；乖離27.6%,量比1.30；乖離27.6%
65,3576,聯合再生,19.0,1.75,-5.94,-16.16,9.93,43.5,1,-41.4,9039557.0,0.0,7104169.0,0.0,False,False,0.0,0.0,0.0,未通過,漲幅-5.9%
66,3583,辛耘,673.0,2.14,9.97,53.65,61.53,84.9,6,6.1,2622025.0,20693.0,3667010.0,487560.0,False,False,0.0,0.0,0.0,乖離53.7%,漲幅10.0%；乖離53.7%
67,3591,艾笛森,22.25,0.47,-0.89,11.72,0.81,63.8,3,11.6,508939.0,0.0,1554939.0,0.0,False,False,0.0,0.0,0.0,量比0.47；成交額不足,量比0.47；成交額不足
68,3596,智易,173.0,0.72,0.29,-7.12,2.62,44.9,6,1.6,144384.0,1000.0,1042471.0,-1000.0,False,False,0.0,0.0,0.0,量比0.72,量比0.72
69,3605,宏致,66.0,0.99,2.33,8.54,2.12,60.6,0,3.4,-31000.0,0.0,437089.0,0.0,False,False,0.0,0.0,0.0,量比0.99；成交額不足,量比0.99；成交額不足
70,3645,達邁,82.2,1.72,9.89,9.31,11.41,62.0,0,23.8,-805000.0,0.0,-105540.0,0.0,False,False,0.0,0.0,0.0,未通過,漲幅9.9%
71,5534,長虹,83.8,1.12,-0.36,8.35,1.31,67.6,0,-5.8,-470286.0,0.0,-9934.0,0.0,False,False,0.0,0.0,0.0,量比1.12；成交額不足,量比1.12；成交額不足
72,3661,世芯-KY,3025.0,1.04,4.49,-1.9,57.83,49.8,1,-46.6,372140.0,-21941.0,480113.0,-118938.0,False,False,0.0,0.0,0.0,量比1.04,量比1.04
73,3665,貿聯-KY,2200.0,0.71,3.29,24.01,51.22,73.1,0,22.2,-83074.0,-36903.0,-25090.0,121762.0,False,False,0.0,0.0,0.0,量比0.71,量比0.71
74,3673,TPK-KY,50.0,0.9,-2.53,15.47,5.79,66.1,0,23.6,-3669315.0,0.0,-2569314.0,0.0,False,False,0.0,0.0,0.0,量比0.90,量比0.90；漲幅-2.5%
75,3702,大聯大,91.5,1.07,0.22,9.39,11.91,64.8,5,28.6,4885216.0,-1391000.0,15007599.0,-1854000.0,False,False,0.0,0.0,0.0,量比1.07,量比1.07
76,3711,日月光投控,393.0,0.84,0.26,12.18,67.18,63.4,0,14.6,-1806129.0,-588575.0,9874713.0,-1152577.0,False,False,0.0,0.0,0.0,量比0.84,量比0.84
77,3376,新日興,206.5,0.52,-0.72,0.28,6.31,50.1,0,-9.6,-320000.0,-282.0,1930167.0,-1282.0,False,False,0.0,0.0,0.0,量比0.52,量比0.52
78,3714,富采,52.0,1.41,-9.25,13.82,41.6,58.1,1,-6.5,-16807898.0,25000.0,1840236.0,35000.0,False,False,0.0,0.0,0.0,未通過,漲幅-9.2%
79,3715,定穎投控,186.5,0.76,-0.27,10.15,44.63,56.5,0,41.9,-4962438.0,-77423.0,-980673.0,-153423.0,False,False,0.0,0.0,0.0,量比0.76,量比0.76
80,4526,東台,35.05,0.81,-2.64,5.69,1.64,54.6,1,-34.1,36000.0,0.0,-163400.0,0.0,False,False,0.0,0.0,0.0,量比0.81；成交額不足,量比0.81；漲幅-2.6%；成交額不足
81,4576,大銀微系統,165.0,2.25,0.92,28.87,18.25,77.4,3,49.5,1308073.0,0.0,3377473.0,0.0,False,False,0.0,0.0,0.0,乖離28.9%,乖離28.9%
82,3189,景碩,381.0,1.15,-1.55,14.72,98.69,61.8,0,25.1,-2168917.0,-1235159.0,-3397851.0,-1191795.0,False,False,0.0,0.0,0.0,量比1.15,量比1.15
83,4720,德淵,18.65,1.16,-5.33,9.08,0.95,58.4,0,25.2,-611000.0,-501.0,468000.0,-2005.0,False,False,0.0,0.0,0.0,量比1.16；成交額不足,量比1.16；漲幅-5.3%；成交額不足
84,4722,國精化,169.0,1.41,-4.25,-4.06,3.87,47.7,0,-10.7,-778000.0,-2000.0,-738000.0,-11000.0,False,False,0.0,0.0,0.0,未通過,漲幅-4.2%
85,4739,康普,84.6,1.15,2.3,7.83,2.5,59.5,0,103.6,-56000.0,-8000.0,101999.0,-14000.0,False,False,0.0,0.0,0.0,量比1.15,量比1.15
86,3653,健策,4125.0,0.93,-2.71,12.78,63.87,61.9,0,18.9,-169672.0,-130415.0,9847.0,-54360.0,False,False,0.0,0.0,0.0,量比0.93,量比0.93；漲幅-2.7%
87,9914,美利達,59.4,0.67,2.24,-11.9,1.57,22.9,1,-16.9,733128.0,0.0,-3712472.0,0.0,False,False,0.0,0.0,0.0,量比0.67；成交額不足,量比0.67；成交額不足
88,8996,高力,1040.0,1.02,2.97,19.83,49.69,65.0,3,205.3,815971.0,57000.0,591851.0,-162001.0,False,False,0.0,0.0,0.0,量比1.02,量比1.02
89,8464,億豐,356.0,0.46,1.14,-3.05,1.31,45.8,12,9.1,140750.0,907.0,341116.0,17907.0,False,False,0.0,0.0,0.0,量比0.46；成交額不足,量比0.46；成交額不足
90,8438,昶昕,89.3,0.76,9.98,29.44,4.61,74.8,2,20.7,363851.0,0.0,195579.0,-4000.0,False,False,0.0,0.0,0.0,量比0.76；乖離29.4%,量比0.76；漲幅10.0%；乖離29.4%
91,8422,可寧衛,29.1,0.7,-0.51,-3.64,2.21,41.5,0,1.5,-1072050.0,-171000.0,-648050.0,-384000.0,False,False,0.0,0.0,0.0,量比0.70；成交額不足,量比0.70；成交額不足
92,8271,宇瞻,164.5,1.26,6.47,8.77,16.73,57.0,0,292.7,-884703.0,-2664.0,-1794706.0,-13256.0,False,False,0.0,0.0,0.0,量比1.26,量比1.26
93,8261,富鼎,107.5,0.8,-0.46,3.7,1.9,58.2,1,10.9,152000.0,0.0,1508999.0,-5000.0,False,False,0.0,0.0,0.0,量比0.80；成交額不足,量比0.80；成交額不足
94,3138,耀登,185.0,1.19,1.65,2.1,8.38,54.9,0,32.1,-164507.0,0.0,-177510.0,0.0,False,False,0.0,0.0,0.0,量比1.19,量比1.19
